symbol	GSM1526572	GSM1526573	GSM1526574	GSM1526575	GSM1526576	GSM1526577	GSM1526578	GSM1526579	GSM1526580	GSM1526581
PAN2	6.4829598397	7.1940584361	7.0701944232	7.3074162616	7.9896651198	7.3277934401	7.3853241722	7.4955261695	7.3137954011	7.4916056701
PAN3	6.2399087481	8.2577178015	8.5424685503	8.3290986218	8.1525501665	8.3164691878	8.1629554509	8.7549909538	7.5704329556	8.3599049296
PANK1	4.3845982561	4.2764148818	4.3632895451	4.3043981332	4.2166975474	4.2942515278	4.1361249915	4.3466628301	4.2499256766	4.2180470246
PANK2	7.0117404439	7.397886883	7.6202999957	7.5388695903	7.1948477273	7.2586756598	7.5627445985	7.673100486	8.0993253037	7.4865899523
PANK3	6.3283073617	7.2186275133	7.16125639355	7.2535909967	7.2213146992	7.0843755375	7.1628007304	6.9508568603	6.3224046843	7.1271590632
PANK4	7.0783221799	6.8336415582	6.6901352327	6.8674218119	7.6234583831	6.7950140416	6.8404740956	6.8289830348	6.7635317929	7.1212416807
PANX1	8.2833402464	8.4877756157	9.0420607699	7.5858318434	6.4991105621	8.3632876254	8.1097652066	7.9074096611	8.1729300811	7.3032249701
PANX2	7.944933233	6.425893062	6.6445333793	6.8209277276	7.5567728413	6.7798177416	6.3392908812	6.7167015665	7.356838231	6.6589053957
PANX3	4.3831930303	3.3034919689	3.3980977009	3.6153466785	3.6911549943	3.8427387027	3.4952740301	3.6481567084	4.1093492305	3.7023701284
PAOX	7.3498267213	6.4239786094	6.599581485	6.4634929084	7.0517187595	6.2540137748	6.191208002	6.3478302397	7.1976619412	6.434753789
PAPD4	7.1571707961	8.6791922559	8.5264610965	8.6702550893	8.2530719017	8.5379645855	8.6657310176	8.4804625892	7.2125656537	8.2594026084
PAPD5	5.2764647689	6.7202615438	6.7733986942	6.6221637479	6.7025742391	6.8383808455	6.6867051978	7.1202239538	6.3777138135	7.0602454161
PAPD7	6.821550718	7.6104107165	7.3991328389	7.3597473962	8.1354586894	7.5656964717	7.3181295498	7.4662254008	6.4106639143	7.7981958824
PAPL	5.6235468802	4.6598618657	4.7513582329	4.8808925165	4.9962151438	4.6764272101	4.596765647	4.6226808039	5.5860747754	4.811826731
